"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 22, 67
"d:\programming\uniProject\uniProject\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 6, 28
"d:\programming\uniProject\uniProject\app\Exceptions\Handler.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 5, 31
"d:\programming\uniProject\uniProject\app\Http\Controllers\AdminProductController.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 11, 49
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 7, 42
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 6, 26
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 11, 7, 45
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 9, 52
"d:\programming\uniProject\uniProject\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"d:\programming\uniProject\uniProject\app\Http\Controllers\CartController.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 5, 65
"d:\programming\uniProject\uniProject\app\Http\Controllers\ContactController.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\programming\uniProject\uniProject\app\Http\Controllers\Controller.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\programming\uniProject\uniProject\app\Http\Controllers\ProductController.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"d:\programming\uniProject\uniProject\app\Http\Controllers\ProfileController.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 14, 61
"d:\programming\uniProject\uniProject\app\Http\Kernel.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 21, 7, 70
"d:\programming\uniProject\uniProject\app\Http\Middleware\AdminMiddleware.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"d:\programming\uniProject\uniProject\app\Http\Middleware\Authenticate.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\programming\uniProject\uniProject\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\programming\uniProject\uniProject\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\programming\uniProject\uniProject\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 6, 31
"d:\programming\uniProject\uniProject\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"d:\programming\uniProject\uniProject\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"d:\programming\uniProject\uniProject\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"d:\programming\uniProject\uniProject\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 11, 4, 23
"d:\programming\uniProject\uniProject\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\programming\uniProject\uniProject\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 21, 14, 86
"d:\programming\uniProject\uniProject\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 4, 24
"d:\programming\uniProject\uniProject\app\Models\Cart.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\programming\uniProject\uniProject\app\Models\Contact.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\programming\uniProject\uniProject\app\Models\Product.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\programming\uniProject\uniProject\app\Models\User.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 16, 7, 46
"d:\programming\uniProject\uniProject\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 5, 25
"d:\programming\uniProject\uniProject\app\Providers\AuthServiceProvider.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 5, 27
"d:\programming\uniProject\uniProject\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 5, 20
"d:\programming\uniProject\uniProject\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 39
"d:\programming\uniProject\uniProject\app\Providers\RouteServiceProvider.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 7, 41
"d:\programming\uniProject\uniProject\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\programming\uniProject\uniProject\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\programming\uniProject\uniProject\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"d:\programming\uniProject\uniProject\composer.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\programming\uniProject\uniProject\composer.lock", "JSON", 0, 0, 0, 8287, 0, 0, 0, 0, 0, 0, 1, 8288
"d:\programming\uniProject\uniProject\config\app.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 131, 31, 189
"d:\programming\uniProject\uniProject\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\programming\uniProject\uniProject\config\broadcasting.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 23, 13, 72
"d:\programming\uniProject\uniProject\config\cache.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 34, 19, 112
"d:\programming\uniProject\uniProject\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"d:\programming\uniProject\uniProject\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 47, 22, 152
"d:\programming\uniProject\uniProject\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"d:\programming\uniProject\uniProject\config\hashing.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 32, 9, 55
"d:\programming\uniProject\uniProject\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 34, 19, 132
"d:\programming\uniProject\uniProject\config\mail.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 54, 19, 127
"d:\programming\uniProject\uniProject\config\queue.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 42, 17, 110
"d:\programming\uniProject\uniProject\config\sanctum.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 53, 14, 84
"d:\programming\uniProject\uniProject\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"d:\programming\uniProject\uniProject\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"d:\programming\uniProject\uniProject\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"d:\programming\uniProject\uniProject\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 11, 6, 42
"d:\programming\uniProject\uniProject\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"d:\programming\uniProject\uniProject\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\programming\uniProject\uniProject\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"d:\programming\uniProject\uniProject\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190415_adding_roles.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190549_create_products_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 5, 33
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190714_create_carts_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_191938_create_contacts_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\programming\uniProject\uniProject\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\programming\uniProject\uniProject\database\seeders\MainSeeder.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\programming\uniProject\uniProject\database\seeders\ProductSeeder.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\programming\uniProject\uniProject\database\seeders\UserSeeder.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\programming\uniProject\uniProject\package-lock.json", "JSON", 0, 0, 0, 1798, 0, 0, 0, 0, 0, 0, 1, 1799
"d:\programming\uniProject\uniProject\package.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\programming\uniProject\uniProject\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 1, 32
"d:\programming\uniProject\uniProject\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\programming\uniProject\uniProject\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 9893, 0, 0, 0, 0, 0, 0, 7, 1, 9901
"d:\programming\uniProject\uniProject\public\assets\css\dark-theme.css", "CSS", 0, 0, 462, 0, 0, 0, 0, 0, 0, 2, 250, 714
"d:\programming\uniProject\uniProject\public\assets\css\pace.min.css", "CSS", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 101
"d:\programming\uniProject\uniProject\public\assets\css\style.css", "CSS", 0, 0, 744, 0, 0, 0, 0, 0, 0, 32, 208, 984
"d:\programming\uniProject\uniProject\public\assets\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\programming\uniProject\uniProject\public\assets\js\index.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37, 149
"d:\programming\uniProject\uniProject\public\assets\js\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\programming\uniProject\uniProject\public\assets\js\loader.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9
"d:\programming\uniProject\uniProject\public\assets\js\main.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 51
"d:\programming\uniProject\uniProject\public\assets\js\pace.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\js\shop-grid.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 23
"d:\programming\uniProject\uniProject\public\assets\plugins\perfect-scrollbar\css\perfect-scrollbar.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\plugins\perfect-scrollbar\js\perfect-scrollbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\config.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\fonts\slick.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.css", "CSS", 0, 0, 173, 0, 0, 0, 0, 0, 0, 12, 37, 222
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.less", "Less", 0, 0, 0, 0, 0, 0, 152, 0, 0, 5, 12, 169
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 170, 0, 9, 16, 195
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.css", "CSS", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 14, 120
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.js", "JavaScript", 2119, 0, 0, 0, 0, 0, 0, 0, 0, 47, 846, 3012
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.less", "Less", 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 13, 101
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 87, 0, 1, 13, 101
"d:\programming\uniProject\uniProject\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"d:\programming\uniProject\uniProject\resources\css\app.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\js\app.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\programming\uniProject\uniProject\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 33
"d:\programming\uniProject\uniProject\resources\productAdd.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\admin\products.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\admin\products\create.blade.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"d:\programming\uniProject\uniProject\resources\views\admin\products\edit.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"d:\programming\uniProject\uniProject\resources\views\admin\products\index.blade.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\programming\uniProject\uniProject\resources\views\admin\products\store.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\uniProject\uniProject\resources\views\auth\confirm-password.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\programming\uniProject\uniProject\resources\views\auth\forgot-password.blade.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\programming\uniProject\uniProject\resources\views\auth\login.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"d:\programming\uniProject\uniProject\resources\views\auth\register.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"d:\programming\uniProject\uniProject\resources\views\auth\reset-password.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\programming\uniProject\uniProject\resources\views\auth\verify-email.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\programming\uniProject\uniProject\resources\views\cart.blade.php", "PHP", 0, 571, 0, 0, 0, 0, 0, 0, 0, 0, 57, 628
"d:\programming\uniProject\uniProject\resources\views\cart\index.blade.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\programming\uniProject\uniProject\resources\views\components\application-logo.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\auth-session-status.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\programming\uniProject\uniProject\resources\views\components\danger-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\programming\uniProject\uniProject\resources\views\components\dropdown.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\programming\uniProject\uniProject\resources\views\components\input-error.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\programming\uniProject\uniProject\resources\views\components\input-label.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\programming\uniProject\uniProject\resources\views\components\modal.blade.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 2, 4, 78
"d:\programming\uniProject\uniProject\resources\views\components\nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\programming\uniProject\uniProject\resources\views\components\primary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\responsive-nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\programming\uniProject\uniProject\resources\views\components\secondary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\text-input.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\programming\uniProject\uniProject\resources\views\contact.blade.php", "PHP", 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 54, 596
"d:\programming\uniProject\uniProject\resources\views\contacts\create.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\programming\uniProject\uniProject\resources\views\dashboard.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\programming\uniProject\uniProject\resources\views\index.blade.php", "PHP", 0, 632, 0, 0, 0, 0, 0, 0, 0, 0, 49, 681
"d:\programming\uniProject\uniProject\resources\views\layouts\app.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\programming\uniProject\uniProject\resources\views\layouts\guest.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\programming\uniProject\uniProject\resources\views\layouts\navigation.blade.php", "PHP", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 16, 112
"d:\programming\uniProject\uniProject\resources\views\product.blade.php", "PHP", 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 51, 578
"d:\programming\uniProject\uniProject\resources\views\products\index.blade.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\programming\uniProject\uniProject\resources\views\profile\edit.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\programming\uniProject\uniProject\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"d:\programming\uniProject\uniProject\resources\views\profile\partials\update-password-form.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\programming\uniProject\uniProject\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"d:\programming\uniProject\uniProject\resources\views\welcome.blade.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 23, 141
"d:\programming\uniProject\uniProject\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\programming\uniProject\uniProject\routes\auth.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"d:\programming\uniProject\uniProject\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"d:\programming\uniProject\uniProject\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\programming\uniProject\uniProject\routes\web.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 10, 16, 62
"d:\programming\uniProject\uniProject\tailwind.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"d:\programming\uniProject\uniProject\tests\CreatesApplication.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"d:\programming\uniProject\uniProject\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56
"d:\programming\uniProject\uniProject\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 16, 66
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 13, 45
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 22, 72
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\programming\uniProject\uniProject\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\programming\uniProject\uniProject\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\programming\uniProject\uniProject\tests\Feature\ProfileTest.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 24, 100
"d:\programming\uniProject\uniProject\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\programming\uniProject\uniProject\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"d:\programming\uniProject\uniProject\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\programming\uniProject\uniProject\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\programming\uniProject\uniProject\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 2324, 5423, 11483, 10171, 42, 45, 239, 257, 8, 1363, 2697, 34052